Title,Content,newsType,time
UTCC: 3.6% export gain in 2021,"Thailand's exports are recovering and expected to tally growth of 3.6% this year to US$237 billion if a Covid-19 vaccine becomes effective and sufficient as hoped, says the University of the Thai Chamber of Commerce (UTCC).",BUSINESS,04:00
2m debtors poised to join bank scheme,State-owned banks expect around 2 million debtors to participate in the latest financial relief measures rolled out to alleviate the impact of the pandemic.,BUSINESS,04:00
Developer sentiment set to decrease in first half,"Housing developer sentiment in the first half this year is expected to drop after a recovery in the fourth quarter last year because of the recent outbreak, says the Real Estate Information Center.",BUSINESS,04:00
Ad spending projected for 10% growth,"Thailand's media ad spending could recover and grow by 10% this year if the fresh outbreak is controlled, says Media Intelligence (MI), a media planning and creative agency.",BUSINESS,04:00
Price for OR listing fixed at B16-18,"PTT Oil and Retail Business Plc (OR) has priced its initial public offering (IPO) at 16-18 baht, which will be offered to retail investors from Jan 24 to Feb 2 and institutional investors from Feb 3-5, according to the company's filing with the Securities and Exchange Commission (SEC).",BUSINESS,04:00
Pizza Co modifies strategy,"The Pizza Company, owned by SET-listed Minor Food Group Plc, is rejigging its business plan to better cope with the fresh Covid-19 outbreak in the country.",BUSINESS,04:00
Gulf banks on Vietnam investment,"Gulf Energy Development Plc, Thailand's top private power producer by capacity, plans to rack up more revenue this year through its investment expansion in Vietnam by acquiring 70.5% of ordinary shares in Global Mind Investment Management Pte (GMIM) in a deal worth US$40 million, or 1.2 billion baht.",BUSINESS,04:00
Twitter CEO Defends Trump Ban but Voices Concern Over Precedent,"Twitter Inc. Chief Executive Jack Dorsey defended the company's decision to ban President Trump's personal account, but expressed concern about the risks of companies' having too much power over public discussion.",BUSINESS,04:00
Dollar General Will Pay Workers to Get a Covid-19 Vaccine,Dollar General Corp. is offering employees a deal: Go get a Covid-19 vaccine and receive four hours of pay.,BUSINESS,04:00
BGRIM cements UVBGP tie-up with stake,"B.Grimm Power Plc (BGRIM) acquired a 45% stake in Univentures BGP Co (UVBGP), a subsidiary of Univentures Plc, a SET-listed property developer, in order to pursue energy ventures in the real estate sector.",BUSINESS,04:00
Dell lists cutting-edge trends for 2021,"5G use cases, edge computing, multi-cloud and digital transformation are the technology features enterprises in Asia-Pacific will prioritise this year, says US tech giant Dell Technologies.",BUSINESS,04:00
Sappe unveils debut pop-up coffee shop,"SET-listed beverage company Sappe Plc last month launched ""HAVE A sip DAY CAFE by Preaw"", its first coffee shop.",BUSINESS,04:00
PTT retail arm eyes up to B54bn in IPO,"PTT Plc, the country's largest oil-and-gas company, has priced an initial public offering (IPO) of shares in retail unit PTT Oil and Retail (PTTOR) to raise up to 54 billion baht, it said on Thursday ahead of what is expected to be among the country's largest listings this year.",BUSINESS,14 Jan 2021
Covid resurgence spurs sales of IT items,"The new wave of the pandemic is sparking demand for computers and accessories, pushing sales to grow 45-70% above normal.",BUSINESS,14 Jan 2021
Price controls for 55 items,The government has retained its price control on 55 products and service items including medical face masks.,BUSINESS,14 Jan 2021
Association of Domestic Travel upbeat on domestic tour goal,"The government's domestic tourism goal of 200 million trips this year is achievable, says the Association of Domestic Travel (ADT).",BUSINESS,14 Jan 2021
Condo prices continue to fall,"Average prices for new and resale condo supply are projected to continue falling this year as the glut of unsold condos is overwhelming, with new units added to the stockpile.",BUSINESS,14 Jan 2021
AIS bullish on 5G prospects,Advanced Info Service (AIS) expects its 5G subscriber base will reach 1 million by the end of this year.,BUSINESS,14 Jan 2021
SCGP eyes global market with acquisition of UK's Go-Pak,SCG Packaging Plc (SCGP) plans to have its recently acquired Go-Pak UK Ltd expand to food packaging services in the global market as more consumers buy food to eat at home and choose environmentally-friendly products.,BUSINESS,14 Jan 2021
LH reduces launches to 12 projects,"SET-listed developer Land & Houses Plc (LH) scaled down its residential launches this year to 12 projects, down 25% from last year, worth a combined 20.7 billion baht.",BUSINESS,14 Jan 2021
ASPS says 13 low free-float stocks likely to drop in value,Asia Plus Securities (ASPS) Research predicts 13 low free-float stocks with high volatility are likely to drop in value following a possible revision of the criteria for free-float shareholding of listed companies.,BUSINESS,14 Jan 2021
Krungthai forecasts GDP gain of 2.5%,"Thailand's GDP growth is forecast at 2.5% this year, assuming the government maintains stringent measures to contain new Covid-19 infections until February, says Krungthai Compass.",BUSINESS,14 Jan 2021
Government looks to BCG initiatives to drive growth,"The government vows to rev up promotion of the bio, circular and green (BCG) economy to help drive economic growth over the next five years.",BUSINESS,14 Jan 2021
"PTTGC to focus on asset acquisitions, mergers","PTT Global Chemical Plc (PTTGC), Thailand's largest petrochemical maker by capacity, has set a business goal this year to focus on asset acquisitions and mergers to supply high-quality raw materials to automobile, electronics and construction industries, says PTTGC chief executive Kongkrapan Intarajang.",BUSINESS,14 Jan 2021
"Uber, Lyft Push Biden Team for Role in Covid-19 Vaccine Rollout","Ride-sharing giants Lyft Inc. and Uber Technologies Inc. are lobbying the incoming Biden administration for a role in the Covid-19 vaccine rollout, offering to help get more Americans inoculated while seeking early access to doses for drivers.",BUSINESS,14 Jan 2021
Zoom Fills Its War Chest as Pandemic's End Nears,"Zoom Video Communications didn't exactly call its own peak, but the videoconferencing superstar still has good reasons to cash in on investor enthusiasm.",BUSINESS,14 Jan 2021
Informal workers need accounts for handouts,"Informal workers must have monetary deposits in a bank account to be eligible for the 3,500-baht financial relief available for a two-month period, says a Finance Ministry source.",BUSINESS,14 Jan 2021
TBMA: Firms choose loans for funding,"The Thai Bond Market Association (TBMA) expects the policy interest rate will remain at 0.5% throughout 2021, while issuance of new long-term corporate bonds is projected at 700-750 billion baht as the real sector turns to bank loans, says TBMA president Tada Phutthitada.",BUSINESS,14 Jan 2021
Hong Kong airport passenger numbers plunge 89% for year,"Fewer than 9 million passengers passed through Hong Kong International Airport last year, the lowest level since 1985, new data is expected to show this week, reflecting nearly a full year of Covid-19's devastating impact on air travel.",BUSINESS,13 Jan 2021
Informal workers need bank accounts for handouts,"Informal workers must have monetary deposits in a bank account to be eligible for the 3,500-baht financial relief available for a two-month period, says a Finance Ministry source.",BUSINESS,13 Jan 2021
Foreign investors seen shunning Thai bonds amid low returns,"Foreign investors are expected to keep steering clear of the Thai bond market in 2021 after two years of selling due to low returns, while the country's benchmark interest rate is unlikely to fall further this year, an industry body said on Wednesday.",BUSINESS,13 Jan 2021
AirAsia's digital platform eyes more airline partnerships,"KUALA LUMPUR: Malaysian budget carrier AirAsia Group's travel, e-commerce and fintech unit airasia.com is in partnership talks with several Middle Eastern and European airlines, its chief executive said on Wednesday.",BUSINESS,13 Jan 2021
PC Sales Notch Strongest Growth in a Decade,"Personal computer sales last year registered their strongest growth in a decade, underscoring a shift to computers from mobile devices during the coronavirus pandemic, according to industry data.",BUSINESS,13 Jan 2021
Smart dog collar tells owners what's in a bark,SEOUL: A South Korean startup has developed an AI-powered dog collar that can detect five emotions in canines by monitoring their barks using voice recognition technology.,BUSINESS,13 Jan 2021
Private sector deems latest relief measures insufficient,"The cabinet resolution on relief measures, including new subsidies for power and water bills set to take effect next month, is necessary but insufficient, say business leaders.",BUSINESS,13 Jan 2021
WhatsApp stresses privacy as users flock to rivals,SAN FRANCISCO: WhatsApp on Tuesday reassured users about privacy at the Facebook-owned messaging service as people flocked to rivals Telegram and Signal following a tweak to its terms.,BUSINESS,13 Jan 2021
Transport services hit hard by outbreak,"Passenger numbers on all modes of transport have dropped by 40 to 70% due to the recent outbreak of the coronavirus, which has in turn led to a significant drop in revenue for Bangkok operators.",BUSINESS,13 Jan 2021
BoT offers borrowers debt holiday,The Bank of Thailand has extended financial relief measures to individual borrowers until June this year.,BUSINESS,13 Jan 2021
Moody's: Expect a slow Thai recovery,"Thailand's slow economic recovery reflects the sustained damage wrought by the pandemic on international travel and tourism, in large part because of the slow reopening of borders.",BUSINESS,13 Jan 2021
TU subsidiary settles antitrust litigation,"Chicken of the Sea International (COSI), the US seafood packaging subsidiary of Thai Union Group, announced it has settled the antitrust litigation cases against the company.",BUSINESS,13 Jan 2021
"Pandemic, e-commerce to influence headline inflation","Though domestic headline inflation is expected to return to the target band in mid-2021, upcoming inflation dynamics will be marred by changes in the global economic system from the pandemic and e-commerce business, says the Bank of Thailand.",BUSINESS,13 Jan 2021
Samsung touts AI appliances,South Korean tech giant Samsung Electronics is gearing up for artificial intelligence (AI) adoption in home appliances to create a personalised experience for customers.,BUSINESS,13 Jan 2021
Chinese buyers bullish despite challenges,"Despite a new wave of Covid-19 cases in Thailand, Chinese buyers are prepared to purchase Thai properties in the second half of 2021, driven by the expectation of a distribution of vaccines and the reopening of inbound tourism.",BUSINESS,13 Jan 2021
CPN tenants get free takeout channels,"Central Pattana (CPN) is ramping up takeout operations for its 300 restaurant tenants nationwide by adding free distribution channels, beginning at 18 pilot branches at CPN malls.",BUSINESS,13 Jan 2021
NBTC board candidates pass initial stage,"All 80 applicants for National Broadcasting and Telecommunications Commission (NBTC) board members have passed preliminary qualification verification by the Senate, with seven expected to be confirmed as board members by the end of February.",BUSINESS,13 Jan 2021
Google Sued By YouTube Rival Over Search Rankings,"Video-sharing site Rumble Inc. accused Google in a lawsuit of abusing the power of its search engine and mobile operating system to boost its YouTube video service over rivals, the latest allegation of anticompetitive conduct against the Alphabet Inc. unit.",BUSINESS,13 Jan 2021
TEA chief upbeat on Mice sector outlook,"Operators in the exhibition business remain bullish as they believe Covid-19 vaccines will help bring back international Mice (meetings, incentives, conventions and exhibitions) travellers in time for the industry's high season in March.",BUSINESS,13 Jan 2021
TGIA mulls launch of BI insurance policies,The Thai General Insurance Association (TGIA) is studying the feasibility of launching insurance for business interruptions (BI) caused by Covid-19 or other emerging diseases to allow businesses to be more resilient to future outbreak-related shutdowns.,BUSINESS,13 Jan 2021
Watch stocks tracking economic revival,"The SET Index appears likely to extend its gains in January. We see the index holding above 1,500 points on expectations of foreign fund inflows and global economic resilience. Adding to the positive factors, we expect the government to effectively contain the new Covid-19 outbreak. Support is pegged at 1,450. Positive factors include:",BUSINESS,13 Jan 2021
"Bank of Thailand says economic recovery fragile, no sign of deflation","Thailand's central bank said on Tuesday that economic recovery was still fragile and facing uncertainty, and inflation would return to its target in the middle of the year.",BUSINESS,12 Jan 2021
Ministry preps B200bn for new relief measure,The Finance Ministry is preparing to inject financial aid worth around 200 billion baht to combat deteriorating economic conditions during the prolonged Covid-19 crisis.,BUSINESS,12 Jan 2021
Ford to close all its factories in Brazil ,"SAO PAULO: Carmaker Ford said Monday losses exacerbated by the coronavirus epidemic would see it close its three factories in Brazil, where it has operated for a century, terminating some 5,000 jobs.",BUSINESS,12 Jan 2021
Provident fund contribution delay continues,The Finance Ministry has allowed employers and employees to extend halting or delaying provident fund contributions for another six months amid the recent Covid-19 outbreak in Thailand.,BUSINESS,12 Jan 2021
Confidence for stocks remains bullish in first quarter,"Investor confidence for stocks remains bullish in the first quarter of 2021, supported by foreign fund inflows and domestic economic growth despite concerns that a tourism recovery is still months away as there is a second wave of Covid-19.",BUSINESS,12 Jan 2021
Mass transit vow reaffirmed,The government has vowed to continue infrastructure and electric rail development projects in Bangkok and adjacent provinces covering a total of 559 kilometres with 336 stations by 2029.,BUSINESS,12 Jan 2021
Operators prep low-cost data use package,Mobile operators have agreed to roll out a low-cost monthly unlimited data usage package on tools that support people working from home.,BUSINESS,12 Jan 2021
Atta seeks vaccinated arrivals,The Association of Thai Travel Agents encourages the government to allow vaccinated visitors to visit the country without quarantine in the third quarter to boost demand.,BUSINESS,12 Jan 2021
Revisions assist banks' CAR goals,"Thailand's recent amendments to the eligibility criteria for regulatory capital will enable domestic banks to distribute dividends or pay interest without approval from the central bank, says S&P Global Ratings.",BUSINESS,12 Jan 2021
Egco diversifies into industrial estates,"Electricity Generating Plc (Egco), a subsidiary of state-run Electricity Generating Authority of Thailand, plans to diversify into a new industrial estate business in Rayong to fuel its growth in advanced energy businesses.",BUSINESS,12 Jan 2021
AIS offers SME tech solutions,"Advanced Info Service (AIS), the country's largest mobile operator by subscribers, is gearing up efforts to provide small and medium-sized enterprises (SMEs) with digital and telecom service solutions to help them survive during the pandemic via digital transformation.",BUSINESS,12 Jan 2021
MoU aims to combat IPR violations,The Commerce Ministry has teamed up with e-commerce firms and owners of intellectual property rights (IPR) to combat online IPR infringement.,BUSINESS,12 Jan 2021
Household debt rises 42% to 12-year high,"The Covid-19 crisis has caused household debt to surge to the highest level in 12 years, according to the University of the Thai Chamber of Commerce (UTCC).",BUSINESS,12 Jan 2021
"Auto Makers in U.S. Cut Output, Idle Workers on Chip Shortage","A chip shortage that has disrupted vehicle production in other parts of the globe is reaching U.S. shores, stifling output for major car companies and dimming prospects for a smooth recovery from the pandemic.",BUSINESS,12 Jan 2021
What We Already Know About Investing in 2021,"For decades I've warned investors about the folly of short-term market forecasting, but that doesn't mean we can't know anything about the year to come. In fact, we can already predict a few things about 2021 with a high degree of confidence.",BUSINESS,12 Jan 2021
Investment in southern provinces poised to rise,"More active investment in the southern provinces is anticipated after the Board of Investment late last year approved a two-year extension (2021-22) to incentives in the five southernmost provinces of Narathiwat, Pattani, Satun, Songkhla and Yala.",BUSINESS,12 Jan 2021
"Susco steps up non-oil ventures, partnerships","Local oil retailer Susco Plc is preparing to allocate part of its 550-million-baht capital budget to expand its non-oil businesses, including franchised restaurants and coffee shops inside petrol stations nationwide to diversify amid fluctuating global oil prices.",BUSINESS,12 Jan 2021
"BCP adds coffee shops in Laos, Cambodia","Bangchak Corporation (BCP), a mostly state-owned energy firm, is planning to increase its Inthanin coffee houses overseas to grow its non-oil business after the pandemic calms down.",BUSINESS,12 Jan 2021
"Resale condo segment steady despite pandemic, slowdown","Despite the pandemic and economic slowdown, the resale condo market remained steady, with locations from Chidlom to Thong Lor ranked the top areas in 2020, according to property consultant Knight Frank Thailand.",BUSINESS,12 Jan 2021
Prayut says larger 2022 budget deficit won't impact Covid response,Prime Minister Prayut Chan-o-cha on Monday said that the larger government deficit in next year's budget would not affect the country's efforts to manage the spread and economic fallout of the coronavirus.,BUSINESS,11 Jan 2021
Provident fund contribution deferrals extended,"Employers and employees are allowed to defer or stop financial contributions to company provident funds for another six months, a senior Finance Ministry official said on Monday.",BUSINESS,11 Jan 2021
Battery boost,"With a US$9.8-billion investment deal to develop an integrated electric vehicle (EV) battery industry, and the world's largest nickel reserves, Indonesia is taking another step toward its goal to become a major hub for the EV industry.",BUSINESS,11 Jan 2021
Can we keep Covid in check?,"I have always been proud of my hometown, Samut Songkhram. The smallest province in Thailand, known by some as ""Maeklong"", it is just 64 kilometres from the centre of Bangkok, with Samut Sakhon sitting between my province and the capital.",BUSINESS,11 Jan 2021
Healthy outlook,"2005 was a turning point, and also a heartbreaking year for Mihai Irimescu. When his mother passed away after years of battling cancer, he began to approach life with a new sense of purpose. One result was a decision to switch his career focus from telecoms and information technology to healthcare.",BUSINESS,11 Jan 2021
Making palm oil more sustainable,"Palm oil has long been a major economic backbone of Southeast Asian economies, notably Indonesia, Malaysia and Thailand. But the undeniable environmental impact of extensive deforestation, haze and forest fires caused by oil palm plantations has given the industry a bad reputation that has been hard to shake.",BUSINESS,11 Jan 2021
Can China control the weather?,"After successfully tackling its coronavirus outbreak, China is now setting its sights on taming the weather.",BUSINESS,11 Jan 2021
How Asian SMEs can manage energy to win,"In today's challenging world, as businesses fight to maintain market growth in an economy stunted by the Covid-19 pandemic, maintaining the health of small and medium enterprises (SMEs) is vital to long-term economic stability and growth in Asia.",BUSINESS,11 Jan 2021
"Most Asia markets, dollar rise as Biden pledges huge stimulus","Asian markets mostly rose with the dollar Monday following another record performance on Wall Street as investors cheered the prospect of a further massive stimulus for the US economy, with President-elect Joe Biden calling for a spending spree in the trillions of dollars.",BUSINESS,11 Jan 2021
"Conservative site Parler, banned by tech giants, is headed offline","NEW YORK: Tech giants Amazon, Apple and Google have all cut ties with Parler, the social media platform popular with some conservatives, potentially leaving it without an internet home as of midnight Sunday even as its usership has recently been soaring.",BUSINESS,11 Jan 2021
Finance Ministry mulls details of cash handouts,"Cash handouts to ease the burden from the Covid-19 outbreak remain an option, but details are being deliberated regarding the number of eligible people and assistance level.",BUSINESS,11 Jan 2021
Empower your people to sustain your business,"As business leaders, we can all agree that the most important mission we face is to sustain the business through a steady stream of revenue and improvements in profit margins. In short, we want to ensure sustainability of the business, all while maintaining some level of growth.",BUSINESS,11 Jan 2021
Outbreak hurts riverside hotels,"Hotels located by the Chao Phraya River are suffering from the fresh coronavirus outbreak as the domestic market avoids Bangkok, which has been designated a red zone with strict rules.",BUSINESS,11 Jan 2021
Resurgence threatens shoots of recovery,"The labour market was just starting to bounce back with a lower-than-expected unemployment rate when the fresh wave of Covid-19 cases hit, says the Thai Labour Solidarity Committee.",BUSINESS,11 Jan 2021
"GM Unveils New Logo, Names Operations Chief at Cruise Unit","General Motors Co. on Friday revealed a new tech-themed corporate logo -- its first major change in decades -- and GM's autonomous-car division hired a new operations chief, the latest in the auto maker's efforts to fend off Silicon Valley as new technologies disrupt the car business.",BUSINESS,11 Jan 2021
The Case for and Against Investing in Bitcoin,"With bitcoin trading at more than $40,000 apiece earlier this monthy -- and quintupling in value over the past year -- the question arises for investors: Get in or stay out?",BUSINESS,11 Jan 2021
Sharp rise in online trading on stock market,"Online accounts trading on the Thai stock market nearly doubled last year in line with global trends, due to lower commissions and greater convenience as well as overall increased trading volume following the pandemic.",BUSINESS,11 Jan 2021
Cryptocurrencies' total market cap soars to B4bn,"Cryptocurrencies' total market capitalisation in Thailand soared to nearly 4 billion baht on Friday, or around 6% of the Stock Exchange of Thailand's (SET) 2020 daily average trade, backed by the continuous price surges of bitcoin and other digital currencies.",BUSINESS,11 Jan 2021
A plea for help,"2021 is the year of the Metal Ox in the Chinese zodiac, where hard work and discipline define many of the animal's attributes. The reality at the outset of this year requires such attributes if the economy has a prayer of recovery.",BUSINESS,11 Jan 2021
Price of coronavirus policies expected to fall 20%,"The price of Covid-19 insurance is set to be reduced by 20% because of the low total claims last year, only 1.87% of total premiums, says Anon Vangvasu, president of the Thai General Insurance Association (TGIA).",BUSINESS,11 Jan 2021
Energy sector ploughs ahead,"Unlike some reforms in Thailand that face hurdles because of political power plays among authorities, changes in the energy industry have no excuse for delay.",BUSINESS,11 Jan 2021
Brexit deal's 'rules of origin' spark trade confusion,"LONDON: Many British businesses are swiftly discovering that they must now pay duties on exports bound for the European Union, despite the breakthrough Brexit free trade deal clinched over Christmas.",BUSINESS,10 Jan 2021
Domestic air travel shrinks in 2021,"The recent Covid-19 outbreak has seen domestic air travel drop by 60% since the start of the year, says the Department of Airports.",BUSINESS,10 Jan 2021
Finance Ministry preps relief for 33 affected provinces,The Finance Ministry will propose relief measures for cabinet approval to help borrowers at state-owned financial institutions in provinces affected by containment restrictions.,BUSINESS,9 Jan 2021
Chamber of Commerce offers infection support,"The Thai Chamber of Commerce issued a statement on Friday offering to cooperate with the government in tackling the virus outbreak, while requesting a tax deduction for expenses incurred from health screening, treatment and vaccinations for infected employees.",BUSINESS,9 Jan 2021
THA: Let inoculated tourists visit without quarantine,"Tourism operators are asking the government to start conducting research on a plan to welcome international tourists, which would aim to revoke the 14-day quarantine requirement for those visitors inoculated against Covid-19.",BUSINESS,9 Jan 2021
Boeing Reaches $2.5 Billion Settlement of U.S. Probe Into 737 MAX Crashes,"Boeing Co. will pay $2.5 billion to resolve a Justice Department criminal investigation and admit employees deceived aviation regulators about safety issues that led to two deadly crashes of the 737 MAX, authorities said.",BUSINESS,9 Jan 2021
"PTTGC, Gulf unfazed by outbreak","Undeterred by stringent state measures to prevent the rapid spread of Covid-19 in the red zone provinces of Chon Buri and Rayong, PTT Global Chemical Plc (PTTGC) and Gulf Energy Development Plc are continuing operations and new power generation projects under stricter hygiene standards, including a lockdown for hundreds of workers.",BUSINESS,9 Jan 2021
Criteria for free-float shares may be adjusted,"The Securities and Exchange Commission (SEC) and the Stock Exchange of Thailand (SET) are considering revising the criteria for free-float shares in both initial public offerings (IPOs) and secondary markets after unusual surges of many large-cap stocks with low free float disrupted the SET Index in 2020, says Ruenvadee Suwanmongkol, the SEC's secretary-general.",BUSINESS,9 Jan 2021
The 'second wave' of investment,"After a rollercoaster year for the SET, 2021 is finally upon us. We started 2020 on a positive note, with investors optimistic that the market would perform well as economic conditions were improving and tourism was still healthy. The SET peaked at 1,604.43 points in early January.",BUSINESS,9 Jan 2021
"Investors look beyond Covid and US chaos, SET jumps","Recap: Japan's Nikkei hit a three-decade peak, while global stocks rallied this week. Wall Street hit record highs on Thursday as investors looked beyond rising coronavirus cases and political unrest in Washington to focus on hopes for economic recovery.",BUSINESS,9 Jan 2021
Robust Nanyang steps into the future,"Many new brands are launched onto the Thai market every year. Some are withdrawn after only a year or two or perhaps survive for a decade or more. However, there are some die-hard products that have remained alive and thrived over the long-term and Nanyang falls within this group of resilient brands.",BUSINESS,9 Jan 2021
US job market thrown into reverse,"WASHINGTON: The US labour market lost jobs in December for the first time in eight months, providing the strongest evidence yet of how the surge in coronavirus cases is weighing on the economy.",BUSINESS,8 Jan 2021
China muzzles reporting on Alibaba,"China has ordered its domestic media to restrict their reporting on an antitrust investigation into Alibaba Group Holding Ltd as speculation over the future of one of the country’s largest corporations intensified, according to people with direct knowledge of the matter.",BUSINESS,8 Jan 2021
"Thailand, China renew bilateral currency swap arrangement","The central banks of Thailand and China have renewed a baht-yuan bilateral currency swap arrangement for five years to support trade and investment in the local currencies, the Bank of Thailand said on Friday.",BUSINESS,8 Jan 2021
"Vietnam says US probe over its currency, timber may harm both countries","HANOI: A US probe into Vietnam's currency and timber could harm bilateral relations and negatively impact workers and consumers in both countries, Vietnam said on Friday, citing remarks by its trade minister to the US Trade Representative (USTR).",BUSINESS,8 Jan 2021
Oil price outlook steady,"Dubai crude oil prices, the benchmark used in Southeast Asia, are forecast to average between US$45 and $55 per barrel this year -- they ended 2020 around $51 -- as the market expects that the Covid-19 pandemic will ease and economic activity is likely to pick up.",BUSINESS,8 Jan 2021
New firm NT targets top three in first year of services,National Telecom (NT) aims to become one of the top three mobile service providers in Thailand by the end of this year.,BUSINESS,8 Jan 2021
Thai AirAsia: Latest virus outbreak 'destroyed' us,Thai AirAsia (TAA) is dubbing the latest outbreak the worst crisis for aviation in Thailand as airlines face more pressure than during the lockdown last year.,BUSINESS,8 Jan 2021
US suspends tariffs on French goods in digital tax dispute,"WASHINGTON: Washington has suspended a plan to impose new tariffs on $1.3 billion in French products in a dispute over a digital services tax, the US Trade Representative (USTR) announced on Thursday.",BUSINESS,8 Jan 2021
IEAT plan for Chon Buri to forge ahead,"The new coronavirus outbreak, which has spread to 56 provinces in less than a month, is threatening to affect short-term investment in Thailand as it is sapping business confidence, says the Industrial Estate Authority of Thailand (IEAT).",BUSINESS,8 Jan 2021
Boeing to pay $2.5bn fine over 737 MAX,"NEW YORK: US prosecutors hit Boeing with a $2.5 billion fine to settle charges the company defrauded regulators over the 737 MAX, the Justice Department announced Thursday.",BUSINESS,8 Jan 2021
Global QE siphons assets into bullion,"The gold price is trending upward again in the wake of a weakening US dollar and worldwide quantitative easing (QE) practices, with central banks moving assets away from the dollar to other currencies and gold.",BUSINESS,8 Jan 2021
"High season lost, operators ask for 50% salary subsidies","The ongoing outbreak is ruining any hopes for high-season tourism, with operators urging the government to subsidise 50% of monthly salaries to help employees in the industry.",BUSINESS,8 Jan 2021
Exchange rates tipped for shaky 2021,"Volatility and malleability are key themes for this year's foreign exchange outlook, with the baht projected to appreciate further, fuelled by Thailand's surpluses in trade and current accounts, say economists.",BUSINESS,8 Jan 2021
Ad hoc banking crisis team forming,Banks are setting up an ad hoc team for banking crisis management to monitor the surge in infections and allow the provision of uninterrupted financial services.,BUSINESS,8 Jan 2021
Yum planning to introduce cashier-less stores,Yum Restaurant Thailand vows to ramp up its digital programs and tighten its safety measures as the latest coronavirus outbreak hampers restaurants and food outlets in Thailand.,BUSINESS,8 Jan 2021
Mindset vital to hatch unicorns,"A sizeable market mindset, consideration of both loss and profit as well as government support allowing fair competition between local and foreign players are imperative in building the first unicorn startup in Thailand, say leading local startups and venture capitalists.",BUSINESS,8 Jan 2021
Draft panel for five-year trade tactics,Commerce Minister Jurin Laksanawisit has ordered a panel to be established to work on the country's strategic trade plans for 2021-25 to cope with the crisis and ensuing recovery.,BUSINESS,8 Jan 2021
Asia Plus bullish on continued Q1 inflows,"The first quarter of 2021 will see stock market growth driven by fund inflows, high foreign reserves and strong investor sentiment in Thailand and its listed firms, says Asia Plus Securities (ASPS).",BUSINESS,8 Jan 2021
Consumer sentiment falls amid increasing infections,Consumer sentiment dropped for the first time in three months in December as people grew concerned about a surge in Covid-19 infections in the country.,BUSINESS,8 Jan 2021
Boeing to pay $2.5bn fine over 737 MAX,"NEW YORK: US prosecutors hit Boeing with a $2.5 billion fine to settle charges the company defrauded regulators over the 737 MAX, the Justice Department announced Thursday.",BUSINESS,8 Jan 2021
Global QE siphons assets into bullion,"The gold price is trending upward again in the wake of a weakening US dollar and worldwide quantitative easing (QE) practices, with central banks moving assets away from the dollar to other currencies and gold.",BUSINESS,8 Jan 2021
"High season lost, operators ask for 50% salary subsidies","The ongoing outbreak is ruining any hopes for high-season tourism, with operators urging the government to subsidise 50% of monthly salaries to help employees in the industry.",BUSINESS,8 Jan 2021
Exchange rates tipped for shaky 2021,"Volatility and malleability are key themes for this year's foreign exchange outlook, with the baht projected to appreciate further, fuelled by Thailand's surpluses in trade and current accounts, say economists.",BUSINESS,8 Jan 2021
Ad hoc banking crisis team forming,Banks are setting up an ad hoc team for banking crisis management to monitor the surge in infections and allow the provision of uninterrupted financial services.,BUSINESS,8 Jan 2021
